table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10289,r1099,Outlying areas -> Departments -> Department of the Treasury,Outlying areas,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r1100,Outlying areas -> Departments -> Department of Veterans Affairs,Outlying areas,Departments,Department of Veterans Affairs,3,21747,21747,0,0,0,0,0
10289,r1101,Outlying areas -> Other agencies,Outlying areas,Other agencies,,2,,,,,,,
10289,r1102,Outlying areas -> Other agencies -> Consumer Product Safety Commission,Outlying areas,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1103,Outlying areas -> Other agencies -> Environmental Protection Agency,Outlying areas,Other agencies,Environmental Protection Agency,3,0.05,0,0,0,0.05,0.05,0
10289,r1104,Outlying areas -> Other agencies -> National Science Foundation,Outlying areas,Other agencies,National Science Foundation,3,29895,0,0,50,29845,0,0
10289,r1105,Outlying areas -> Other agencies -> Nuclear Regulatory Commission,Outlying areas,Other agencies,Nuclear Regulatory Commission,3,625,0,0,0,625,0,0
10289,r1106,Outlying areas -> Other agencies -> Postal Service,Outlying areas,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r1107,Outlying areas -> Other agencies -> Social Security Administration,Outlying areas,Other agencies,Social Security Administration,3,1637,0,0,0,1637,0,0
10289,r1108,Puerto Rico,Puerto Rico,,,1,120136,29058,0,3528,84957,0.05,2586
10289,r1109,Puerto Rico -> Departments,Puerto Rico,Departments,,2,,,,,,,
10289,r1110,Puerto Rico -> Departments -> Department of Agriculture,Puerto Rico,Departments,Department of Agriculture,3,13038,4873,0,66,8099,0,0
10289,r1111,Puerto Rico -> Departments -> Department of Commerce,Puerto Rico,Departments,Department of Commerce,3,3918,0,0,253,3665,0,0
10289,r1112,Puerto Rico -> Departments -> Department of Defense,Puerto Rico,Departments,Department of Defense,3,4768,1473,0,1098,2197,0,0
10289,r1113,Puerto Rico -> Departments -> Department of Education,Puerto Rico,Departments,Department of Education,3,3574,0,0,900,2674,0,0
10289,r1114,Puerto Rico -> Departments -> Department of Energy,Puerto Rico,Departments,Department of Energy,3,250,0,0,0,250,0,0
10289,r1115,Puerto Rico -> Departments -> Department of Health and Human Services,Puerto Rico,Departments,Department of Health and Human Services,3,51453,0,0,1134,48070,0,2249
10289,r1116,Puerto Rico -> Departments -> Department of the Interior,Puerto Rico,Departments,Department of the Interior,3,1455,961,0,0,157,0,336
10289,r1117,Puerto Rico -> Departments -> Department of Justice,Puerto Rico,Departments,Department of Justice,3,310,0,0,0,310,0,0
10289,r1118,Puerto Rico -> Departments -> Department of Labor,Puerto Rico,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r1119,Puerto Rico -> Departments -> Department of the Treasury,Puerto Rico,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r1120,Puerto Rico -> Departments -> Department of Veterans Affairs,Puerto Rico,Departments,Department of Veterans Affairs,3,21747,21747,0,0,0,0,0
10289,r1121,Puerto Rico -> Other agencies,Puerto Rico,Other agencies,,2,,,,,,,
10289,r1122,Puerto Rico -> Other agencies -> Consumer Product Safety Commission,Puerto Rico,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1123,Puerto Rico -> Other agencies -> Environmental Protection Agency,Puerto Rico,Other agencies,Environmental Protection Agency,3,0.05,0,0,0,0.05,0.05,0
10289,r1124,Puerto Rico -> Other agencies -> National Science Foundation,Puerto Rico,Other agencies,National Science Foundation,3,17301,0,0,50,17251,0,0
10289,r1125,Puerto Rico -> Other agencies -> Nuclear Regulatory Commission,Puerto Rico,Other agencies,Nuclear Regulatory Commission,3,625,0,0,0,625,0,0
10289,r1126,Puerto Rico -> Other agencies -> Postal Service,Puerto Rico,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r1127,Puerto Rico -> Other agencies -> Social Security Administration,Puerto Rico,Other agencies,Social Security Administration,3,1637,0,0,0,1637,0,0
10289,r1128,Other areas<sup>c</sup>,Other areas<sup>c</sup>,,,1,108844,10405,0,44788,24203,24035,5413
10289,r1129,Other areas<sup>c</sup> -> Departments,Other areas<sup>c</sup>,Departments,,2,,,,,,,
10289,r1130,Other areas<sup>c</sup> -> Departments -> Department of Agriculture,Other areas<sup>c</sup>,Departments,Department of Agriculture,3,7924,121,0,0,7803,0,0
10289,r1131,Other areas<sup>c</sup> -> Departments -> Department of Defense,Other areas<sup>c</sup>,Departments,Department of Defense,3,77969,7852,0,44512,1817,23788,0
10289,r1132,Other areas<sup>c</sup> -> Departments -> Department of Energy,Other areas<sup>c</sup>,Departments,Department of Energy,3,295,0,0,275,0,0,0.05
10289,r1133,Other areas<sup>c</sup> -> Departments -> Department of Health and Human Services,Other areas<sup>c</sup>,Departments,Department of Health and Human Services,3,4865,2429,0,0,1989,247,201
10289,r1134,Other areas<sup>c</sup> -> Departments -> Department of the Interior,Other areas<sup>c</sup>,Departments,Department of the Interior,3,5196,0.05,0,0,0,0,5193
10289,r1135,Other areas<sup>c</sup> -> Departments -> Department of Labor,Other areas<sup>c</sup>,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r1136,Other areas<sup>c</sup> -> Other agencies,Other areas<sup>c</sup>,Other agencies,,2,,,,,,,
10289,r1137,Other areas<sup>c</sup> -> Other agencies -> National Science Foundation,Other areas<sup>c</sup>,Other agencies,National Science Foundation,3,12594,0,0,0,12594,0,0
10289,r1138,Other areas<sup>c</sup> -> Other agencies -> Postal Service,Other areas<sup>c</sup>,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r1139,Offices abroad<sup>d</sup>,Offices abroad<sup>d</sup>,,,1,179044,106203,0,66029,5294,1358,159
10289,r1140,Offices abroad<sup>d</sup> -> Departments,Offices abroad<sup>d</sup>,Departments,,2,,,,,,,
10289,r1141,Offices abroad<sup>d</sup> -> Departments -> Department of Agriculture,Offices abroad<sup>d</sup>,Departments,Department of Agriculture,3,477,352,0,0,0.05,0,125
10289,r1142,Offices abroad<sup>d</sup> -> Departments -> Department of Commerce,Offices abroad<sup>d</sup>,Departments,Department of Commerce,3,300,0,0,0,300,0,0
10289,r1143,Offices abroad<sup>d</sup> -> Departments -> Department of Defense,Offices abroad<sup>d</sup>,Departments,Department of Defense,3,111237,41846,0,65904,3242,245,0
10289,r1144,Offices abroad<sup>d</sup> -> Departments -> Department of Health and Human Services,Offices abroad<sup>d</sup>,Departments,Department of Health and Human Services,3,2173,0,0,0,1026,1113,0.05
10289,r1145,Offices abroad<sup>d</sup> -> Departments -> Department of the Interior,Offices abroad<sup>d</sup>,Departments,Department of the Interior,3,125,0,0,0,125,0,0
10289,r1146,Offices abroad<sup>d</sup> -> Departments -> Department of Labor,Offices abroad<sup>d</sup>,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r1147,Offices abroad<sup>d</sup> -> Departments -> Department of State,Offices abroad<sup>d</sup>,Departments,Department of State,3,64000,64000,0,0,0,0,0
10289,r1148,Offices abroad<sup>d</sup> -> Departments -> Department of the Treasury,Offices abroad<sup>d</sup>,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r1149,Offices abroad<sup>d</sup> -> Other agencies,Offices abroad<sup>d</sup>,Other agencies,,2,,,,,,,
10289,r1150,Offices abroad<sup>d</sup> -> Other agencies -> Consumer Product Safety Commission,Offices abroad<sup>d</sup>,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r1151,Offices abroad<sup>d</sup> -> Other agencies -> National Aeronautics and Space Administration,Offices abroad<sup>d</sup>,Other agencies,National Aeronautics and Space Administration,3,726,0,0,125,601,0,0
10289,r1152,Offices abroad<sup>d</sup> -> Other agencies -> Postal Service,Offices abroad<sup>d</sup>,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r1153,Undistributed<sup>e</sup>,Undistributed<sup>e</sup>,,,1,5176678,4912358,4544,251431,0,8344,0
10289,r1154,Undistributed<sup>e</sup> -> Departments,Undistributed<sup>e</sup>,Departments,,2,,,,,,,
10289,r1155,Undistributed<sup>e</sup> -> Departments -> Department of Defense,Undistributed<sup>e</sup>,Departments,Department of Defense,3,5176678,4912358,4544,251431,0,8344,0
